stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
12550,12550,"23rd Ave S & S Jackson St","",47.5996971,-122.302124,1,,0,,America/Los_Angeles,1
12560,12560,"23rd Ave & E Yesler Way","",47.6018944,-122.302299,1,,0,,America/Los_Angeles,1
126,126,"Madison St & Terry Ave","",47.6090698,-122.325974,1,,0,,America/Los_Angeles,1
1260,1260,"Seneca St & 6th Ave","",47.6087418,-122.331482,1,,0,,America/Los_Angeles,1
12600,12600,"23rd Ave & E Jefferson St","",47.6058998,-122.302887,1,,0,,America/Los_Angeles,1
12630,12630,"23rd Ave S & E Yesler Way","",47.6012573,-122.302361,1,,0,,America/Los_Angeles,1
12640,12640,"23rd Ave S & S Jackson St","",47.5989761,-122.302315,1,,0,,America/Los_Angeles,1
12660,12660,"S Dearborn St & 24th Ave S","",47.5955009,-122.301636,1,,0,,America/Los_Angeles,1
12670,12670,"24th Ave S & S Norman St","",47.5927429,-122.301292,1,,0,,America/Los_Angeles,1
12690,12690,"34th Ave & E Union St","",47.6125031,-122.289421,1,,0,,America/Los_Angeles,1
127,127,"Madison St & 8th Ave","",47.6078682,-122.328857,1,,0,,America/Los_Angeles,1
12700,12700,"34th Ave & E Marion St","",47.6105156,-122.289474,1,,0,,America/Los_Angeles,1
12712,12712,"34th Ave & E Cherry St","",47.6081123,-122.28952,1,,0,,America/Los_Angeles,1
12720,12720,"E Cherry St & 32nd Ave","",47.6080322,-122.292,1,,0,,America/Los_Angeles,1
12740,12740,"E Cherry St & Martin L King Jr Way","",47.6080627,-122.296158,1,,0,,America/Los_Angeles,1
